names,date,sentences
Chris Savino,7/9/17,4645
Chris Savino,7/16/17,4984
Chris Savino,7/23/17,4277
Chris Savino,7/30/17,3525
Chris Savino,8/6/17,3598
Chris Savino,8/13/17,3544
Chris Savino,8/20/17,3188
Chris Savino,8/27/17,3714
Chris Savino,9/3/17,3869
Chris Savino,9/10/17,3292
Chris Savino,9/17/17,3765
Chris Savino,9/24/17,3532
Chris Savino,10/1/17,3964
Chris Savino,10/8/17,3765
Chris Savino,10/15/17,3999
Chris Savino,10/22/17,3725
Chris Savino,10/29/17,3532
Chris Savino,11/5/17,3672
Chris Savino,11/12/17,3265
Chris Savino,11/19/17,2988
Chris Savino,11/26/17,731
Robert Scoble,1/1/17,2198
Robert Scoble,1/8/17,2670
Robert Scoble,1/15/17,2717
Robert Scoble,1/22/17,2654
Robert Scoble,1/29/17,2882
Robert Scoble,2/5/17,3181
Robert Scoble,2/12/17,3522
Robert Scoble,2/19/17,3003
Robert Scoble,2/26/17,2476
Robert Scoble,3/5/17,3081
Robert Scoble,3/12/17,2960
Robert Scoble,3/19/17,2991
Robert Scoble,3/26/17,3250
Robert Scoble,4/2/17,3133
Robert Scoble,4/9/17,3196
Robert Scoble,4/16/17,2980
Robert Scoble,4/23/17,3207
Robert Scoble,4/30/17,2840
Robert Scoble,5/7/17,3068
Robert Scoble,5/14/17,4445
Robert Scoble,5/21/17,3120
Robert Scoble,5/28/17,2576
Robert Scoble,6/4/17,3278
Robert Scoble,6/11/17,3530
Robert Scoble,6/18/17,2815
Robert Scoble,6/25/17,2635
Robert Scoble,7/2/17,2334
Robert Scoble,7/9/17,3062
Robert Scoble,7/16/17,3141
Robert Scoble,7/23/17,2853
Robert Scoble,7/30/17,3187
Robert Scoble,8/6/17,3285
Robert Scoble,8/13/17,6109
Robert Scoble,8/20/17,4089
Robert Scoble,8/27/17,3399
Robert Scoble,9/3/17,3146
Robert Scoble,9/10/17,2945
Robert Scoble,9/17/17,3309
Robert Scoble,9/24/17,2842
Robert Scoble,10/1/17,2406
Robert Scoble,10/8/17,2577
Robert Scoble,10/15/17,2703
Robert Scoble,10/22/17,3118
Robert Scoble,10/29/17,4542
Robert Scoble,11/5/17,3383
Robert Scoble,11/12/17,3989
Robert Scoble,11/19/17,3609
Robert Scoble,11/26/17,580
Lockhart Steele,1/1/17,160
Lockhart Steele,1/8/17,1273
Lockhart Steele,1/15/17,286
Lockhart Steele,1/22/17,144
Lockhart Steele,1/29/17,398
Lockhart Steele,2/5/17,259
Lockhart Steele,2/12/17,491
Lockhart Steele,2/19/17,278
Lockhart Steele,2/26/17,462
Lockhart Steele,3/5/17,412
Lockhart Steele,3/12/17,204
Lockhart Steele,3/19/17,322
Lockhart Steele,3/26/17,319
Lockhart Steele,4/2/17,337
Lockhart Steele,4/9/17,156
Lockhart Steele,4/16/17,126
Lockhart Steele,4/23/17,158
Lockhart Steele,4/30/17,251
Lockhart Steele,5/7/17,155
Lockhart Steele,5/14/17,162
Lockhart Steele,5/21/17,138
Lockhart Steele,5/28/17,205
Lockhart Steele,6/4/17,345
Lockhart Steele,6/11/17,441
Lockhart Steele,6/18/17,199
Lockhart Steele,6/25/17,242
Lockhart Steele,7/2/17,183
Lockhart Steele,7/9/17,239
Lockhart Steele,7/16/17,180
Lockhart Steele,7/23/17,151
Lockhart Steele,7/30/17,177
Lockhart Steele,8/6/17,157
Lockhart Steele,8/13/17,150
Lockhart Steele,8/20/17,230
Lockhart Steele,8/27/17,187
Lockhart Steele,9/3/17,202
Lockhart Steele,9/10/17,213
Lockhart Steele,9/17/17,231
Lockhart Steele,9/24/17,324
Lockhart Steele,10/1/17,440
Lockhart Steele,10/8/17,327
Lockhart Steele,10/15/17,284
Lockhart Steele,10/22/17,809
Lockhart Steele,10/29/17,380
Lockhart Steele,11/5/17,269
Lockhart Steele,11/12/17,491
Lockhart Steele,11/19/17,208
Lockhart Steele,11/26/17,32
John Besh,1/1/17,7163
John Besh,1/8/17,9050
John Besh,1/15/17,10846
John Besh,1/22/17,8801
John Besh,1/29/17,9175
John Besh,2/5/17,8586
John Besh,2/12/17,8784
John Besh,2/19/17,8945
John Besh,2/26/17,8035
John Besh,3/5/17,8140
John Besh,3/12/17,8255
John Besh,3/19/17,9175
John Besh,3/26/17,8530
John Besh,4/2/17,8341
John Besh,4/9/17,7581
John Besh,4/16/17,7139
John Besh,4/23/17,8781
John Besh,4/30/17,8620
John Besh,5/7/17,8778
John Besh,5/14/17,8359
John Besh,5/21/17,7776
John Besh,5/28/17,7364
John Besh,6/4/17,7111
John Besh,6/11/17,7334
John Besh,6/18/17,6745
